x;y;pressure;z;time;velocityx;velocityy;accelx;accely
42;584;0;1023;227860,879;0;0;0;0
42;583;0;1023;227867,037;0;0;0;0
42;583;0;1023;227870,9574;0;0;0;0
42;583;0;1023;227877,3044;0;0;0;0
42;583;0;1023;227881,0489;0;0;0;0
42;582;0;1023;227887,0571;0;0;0;0
42;582;0;1023;227891,1512;0;0;0;0
42;582;0;1023;227898,3996;0;0;0;0
42;581;0;1023;227901,0093;0;0;0;0
42;581;0;1023;227907,2888;0;0;0;0
42;581;0;1023;227911,3553;0;0;0;0
42;580;0;1023;227917,2887;0;0;0;0
42;580;0;1023;227921,1643;0;0;0;0
42;580;0;1023;227927,4575;0;0;0;0
43;580;0;1023;227930,9877;0;0;0;0
43;580;0;1023;227937,4194;0;0;0;0
43;579;0;1023;227940,996;0;0;0;0
43;578;0;994;227947,13;0;0;0;0
43;578;0;994;227951,1535;0;0;0;0
44;577;0;966;227957,34;0;0;0;0
44;577;0;966;227960,9008;0;0;0;0
45;576;0;938;227967,4588;0;0;0;0
45;575;0;938;227970,9621;0;0;0;0
46;574;0;914;227977,2136;0;0;0;0
46;573;0;914;227981,2011;0;0;0;0
47;572;0;886;227987,396;0;0;0;0
47;571;0;886;227990,9577;0;0;0;0
48;570;0;886;227997,5453;0;0;0;0
48;569;0;858;228001,084;0;0;0;0
49;567;0;858;228007,2845;0;0;0;0
49;565;0;858;228011,0885;0;0;0;0
50;565;0;834;228017,4078;0;0;0;0
50;565;0;834;228021,0614;0;0;0;0
50;565;0;806;228027,3806;0;0;0;0
51;565;0;778;228031,0454;0;0;0;0
51;564;0;750;228037,3563;0;0;0;0
51;564;0;726;228041,1873;0;0;0;0
52;563;0;698;228047,4218;0;0;0;0
53;563;0;669;228051,0577;0;0;0;0
53;563;0;645;228057,12;0;0;0;0
54;562;0;589;228061,0391;0;0;0;0
56;561;0;561;228067,3658;0;0;0;0
57;558;0;537;228070,984;0;0;0;0
57;555;0;509;228077,3751;0;0;0;0
57;550;0;481;228080,8592;0;0;0;0
57;545;0;481;228087,2246;0;0;0;0
57;543;0;457;228090,9861;0;0;0;0
58;542;0;457;228097,202;0;0;0;0
58;540;0;457;228102,6197;0;0;0;0
58;539;0;457;228107,4474;0;0;0;0
58;538;0;457;228111,3057;0;0;0;0
58;537;0;457;228117,2484;0;0;0;0
58;536;0;457;228121,208;0;0;0;0
58;536;0;457;228127,4298;0;0;0;0
58;536;0;457;228131,1509;0;0;0;0
58;536;0;429;228137,4087;0;0;0;0
58;536;0;429;228140,9951;0;0;0;0
58;536;0;429;228147,5343;0;0;0;0
57;535;0;401;228151,0582;0;0;0;0
57;535;0;373;228157,4104;0;0;0;0
57;535;0;349;228161,1644;0;0;0;0
57;535;0;320;228167,508;0;0;0;0
57;535;0;292;228171,1822;0;0;0;0
57;535;0;268;228177,3925;0;0;0;0
57;533;0;240;228181,2983;0;0;0;0
57;532;0;240;228187,3973;0;0;0;0
57;531;0;212;228191,2056;0;0;0;0
57;529;0;212;228197,4159;0;0;0;0
57;528;0;184;228201,1988;0;0;0;0
57;527;0;184;228207,3957;0;0;0;0
