x;y;pressure;z;time;velocityx;velocityy;accelx;accely
109;153;3416;0;0;0;0;0;0
109;153;9876;0;8,90625;0;0;0;0
109;153;10768;0;10,21875;0;0;0;0
109;153;11349;0;20,21875;0;0;0;0
109;153;12797;0;21,75;0;0;0;0
108;157;14261;0;23,0625;-0,7619048;3,047619;-0,5804989;2,3219955
107;158;15485;0;31,75;-0,11510792;0,11510792;0,07445144;-0,33755523
105;159;16445;0;33,34375;-1,254902;0,627451;-0,71516496;0,32147017
102;160;17329;0;42,4375;-0,3298969;0,10996564;0,10171877;-0,05690561
99;160;18205;0;44,375;-1,548387;0;-0,62889814;-0,05675646
94;160;19145;0;54,375;-0,5;0;0,10483871;0
89;158;19473;0;55,59375;-4,1025643;-1,6410257;-2,9559503;-1,3464826
83;156;19877;0;56,90625;-4,571429;-1,5238096;-0,35723004;0,08930751
75;152;20345;0;66,03125;-0,8767123;-0,43835616;0,40490043;0,118953794
68;148;20769;0;75,3125;-0,75420874;-0,43097642;0,013199039;0,0007951236
59;143;21185;0;76,6875;-6,5454545;-3,6363637;-4,2118154;-2,3311908
51;138;21489;0;77,96875;-6,243902;-3,902439;0,2353579;-0,20766859
43;133;21693;0;88,0625;-0,79256964;-0,49535602;0,5400701;0,33754382
36;128;21962;0;89,40625;-5,2093024;-3,7209303;-3,286871;-2,4004273
30;123;22326;0;98,5625;-0,6552901;-0,5460751;0,49736652;0,34674186
26;118;22690;0;100,40625;-2,1694915;-2,7118645;-0,82126176;-1,1746655
25;114;22846;0;110,28125;-0,101265825;-0,4050633;0,20944057;0,23360011
25;110;22846;0;111,90625;0;-2,4615386;0,06231743;-1,2655232
26;106;22726;0;113,21875;0,7619048;-3,047619;0,5804989;-0,44653755
30;103;22450;0;123,25;0,39875388;-0,2990654;-0,036201958;0,27399912
35;99;22338;0;124,9375;2,9629629;-2,3703704;1,5195312;-1,22744
42;96;22338;0;134,3125;0,74666667;-0,32;-0,23640493;0,21870618
50;93;22346;0;136,375;3,878788;-1,4545455;1,5186043;-0,5500827
59;91;22470;0;137,8125;6,2608695;-1,3913044;1,6571002;0,043993827
69;89;22518;0;147,28125;1,0561056;-0,21122113;-0,549678;0,12462926
79;87;22650;0;148,90625;6,1538463;-1,2307693;3,1370711;-0,6274143
89;85;22734;0;157,5625;1,1552347;-0,23104693;-0,5774569;0,11549139
99;82;22794;0;159;6,9565215;-2,0869565;4,035678;-1,2910675
