x;y;pressure;z;time;velocityx;velocityy;accelx;accely
163;354;10876;0;0;0;0;0;0
163;354;12821;0;10,75;0;0;0;0
163;354;12821;0;12,3125;0;0;0;0
163;354;12297;0;13,875;0;0;0;0
163;354;11809;0;24,96875;0;0;0;0
163;354;11517;0;26,5625;0;0;0;0
163;354;11465;0;38,3125;0;0;0;0
163;354;11465;0;40,15625;0;0;0;0
168;353;11837;0;41,40625;4;-0,8;3,2;-0,64
169;352;12181;0;52;0,09439528;-0,09439528;-0,36867067;0,066605754
171;350;12477;0;53,59375;1,254902;-1,254902;0,7281611;-0,7281611
173;348;12553;0;54,96875;1,4545455;-1,4545455;0,14519526;-0,14519526
175;345;12553;0;63,59375;0,23188406;-0,3478261;-0,14175786;0,12831528
176;342;12605;0;64,875;0,7804878;-2,3414633;0,42817852;-1,5560095
178;339;12669;0;74,34375;0,21122113;-0,31683168;-0,06012057;0,2138225
179;336;12669;0;75,75;0,7111111;-2,1333334;0,35547733;-1,2917346
180;333;12673;0;84,8125;0,11034483;-0,33103448;-0,06629145;0,19887437
180;330;12777;0;86,59375;0;-1,6842105;-0,06194797;-0,7596778
180;327;12789;0;95,15625;0;-0,35036495;0;0,15577759
180;323;12917;0;96,34375;0;-3,368421;0;-2,541521
179;320;13185;0;105,90625;-0,104575165;-0,3137255;-0,010935965;0,31944528
177;317;13517;0;107,125;-1,6410257;-2,4615386;-1,2606773;-1,7623081
174;314;13909;0;115,6875;-0,35036495;-0,35036495;0,1507341;0,24656042
170;311;14329;0;117,25;-2,56;-1,92;-1,4141665;-1,0045664
165;307;14745;0;125,84375;-0,58181816;-0,46545455;0,23018843;0,1692562
160;304;15289;0;127,46875;-3,0769231;-1,8461539;-1,5354493;-0,8496611
153;301;15817;0;139,03125;-0,6054054;-0,25945947;0,2137529;0,13722762
146;298;16361;0;140,78125;-4;-1,7142857;-1,9397684;-0,8313293
138;295;16833;0;142,21875;-5,5652175;-2,0869565;-1,0888469;-0,25924924
130;293;17245;0;151,15625;-0,8951049;-0,22377622;0,5225301;0,20846772
121;291;17493;0;152,53125;-6,5454545;-1,4545455;-4,109345;-0,89510494
112;290;17665;0;153,96875;-6,2608695;-0,6956522;0,19797218;0,5279258
102;290;17777;0;162,4375;-1,1808118;0;0,5998592;0,08214343
92;290;17781;0;163,71875;-7,804878;0;-5,170003;0
82;291;17781;0;173,03125;-1,0738255;0,10738255;0,72279763;0,011531012
72;293;17781;0;174,3125;-7,804878;1,5609756;-5,2535048;1,1345116
62;295;17385;0;182,90625;-1,1636363;0,23272727;0,7727991;-0,15455979
53;298;17385;0;184,5625;-5,4339623;1,8113208;-2,57831;0,9531131
45;301;17393;0;194;-0,8476821;0,3178808;0,4859635;-0,1582453
38;304;17729;0;195,28125;-5,4634147;2,3414633;-3,602523;1,5793815
31;307;18061;0;204,59375;-0,7516779;0,32214764;0,5059583;-0,21683927
25;310;18533;0;205,71875;-5,3333335;2,6666667;-4,0725827;2,084017
19;313;18865;0;214,4375;-0,68817204;0,34408602;0,5327784;-0,2663892
14;316;19173;0;215,65625;-4,1025643;2,4615386;-2,8015525;1,7373971
10;319;19493;0;224,59375;-0,44755244;0,33566433;0,4089524;-0,23786005
7;323;19773;0;226,15625;-1,92;2,56;-0,9423664;1,4235748
4;327;19881;0;235,46875;-0,32214764;0,4295302;0,17158146;-0,22877528
2;332;19881;0;237,0625;-1,254902;3,137255;-0,58525765;1,6989646
0;338;19821;0;245,875;-0,22695035;0,68085104;0,116647005;-0,27874088
0;344;19553;0;247,09375;0;4,923077;0,18621567;3,4808009
0;351;19321;0;256,53125;0;0,74172187;0;-0,44305754
2;359;19097;0;258;1,3617021;5,4468083;0,92711633;3,2034633
6;367;18765;0;270,90625;0,30992737;0,61985475;-0,081493445;-0,37400123
10;375;18509;0;272,03125;3,5555556;7,111111;2,8850029;5,7700057
16;384;18321;0;273;6,193548;9,290322;2,7230892;2,2495084
23;393;18249;0;273,875;8;10,285714;2,0645163;1,1375906
32;401;18113;0;282,34375;1,0627307;0,94464946;-0,81916094;-1,103004
41;410;17953;0;283,65625;6,857143;6,857143;4,41479;4,504757
51;418;17805;0;292,625;1,1149826;0,8919861;-0,64024085;-0,6651046
62;426;17541;0;293,78125;9,513514;6,918919;7,263594;5,212483
74;433;17257;0;304,3125;1,1394659;0,6646884;-0,7951618;-0,5938735
86;440;16885;0;305,625;9,142858;5,3333335;6,0978217;3,5570629
99;446;16633;0;315,90625;1,2644377;0,58358663;-0,76629007;-0,46198145
112;452;16349;0;317,59375;7,703704;3,5555556;3,8158615;1,7611667
126;457;16141;0;326,15625;1,6350365;0,5839416;-0,7087495;-0,3470498
140;461;16005;0;327,5;10,418605;2,9767442;6,536609;1,7806904
155;465;15981;0;337,21875;1,5434084;0,41157556;-0,9132035;-0,2639402
170;468;15973;0;338,5;11,707317;2,3414633;7,932807;1,5062538
186;471;15977;0;339,65625;13,837838;2,5945945;1,8426126;0,21892424
203;473;15977;0;348,8125;1,8566552;0,21843003;-1,3085251;-0,25951284
220;475;16065;0;351,1875;7,1578946;0,84210527;2,2321007;0,2626001
238;476;16493;0;360,8125;1,8701298;0,103896104;-0,54937816;-0,07669706
256;477;16657;0;362,375;11,52;0,64;6,175917;0,3431065
275;478;16853;0;373,71875;1,6749312;0,08815427;-0,8678849;-0,048647556
294;478;17165;0;375,40625;11,259259;0;5,6796017;-0,052239567
313;477;17289;0;376,96875;12,16;-0,64;0,576474;-0,4096
332;476;17289;0;388,09375;1,7078651;-0,08988764;-0,93951774;0,049448304
352;474;17301;0;389,71875;12,307693;-1,2307693;6,522971;-0,702081
371;471;17297;0;390,78125;17,882353;-2,8235295;5,246739;-1,4990684
389;467;17297;0;400,65625;1,8227848;-0,4050633;-1,6262854;0,24490796
407;463;17261;0;402,34375;10,666667;-2,3703704;5,2408195;-1,1646265
424;458;17261;0;411,75;1,8073089;-0,53156143;-0,94185865;0,195488
440;452;17325;0;413,46875;9,309091;-3,490909;4,3646727;-1,7218024
456;446;17373;0;415,3125;8,677966;-3,2542372;-0,34230483;0,12836443
471;439;17521;0;425,28125;1,5047022;-0,70219433;-0,71957505;0,2560043
484;431;17757;0;426,78125;8,666667;-5,3333335;4,7746434;-3,0874262
497;423;17765;0;437,59375;1,2023121;-0,7398844;-0,690345;0,42482767
508;414;17765;0;438,90625;8,380953;-6,857143;5,4694405;-4,6607685
517;405;17765;0;439,8125;9,931034;-9,931034;1,7104344;-3,3918798
525;396;17693;0;449,375;0,8366013;-0,9411765;-0,9510518;0,9401158
531;386;17529;0;451,125;3,4285715;-5,714286;1,4811258;-2,7274911
535;377;17293;0;460,34375;0,4338983;-0,9762712;-0,3248459;0,51395416
538;368;17109;0;461,75;2,1333334;-6,4;1,2084872;-3,856874
539;358;16909;0;471,65625;0,100946374;-1,0094637;-0,2051621;0,54415506
539;349;16909;0;472,9375;0;-7,02439;-0,078787416;-4,6945767
536;340;16973;0;473,90625;-3,096774;-9,290322;-3,19667;-2,3390267
532;331;17221;0;483,0625;-0,43686005;-0,98293513;0,29050255;0,9072915
526;322;17481;0;484,625;-3,84;-5,76;-2,1780095;-3,0573218
518;313;17853;0;492,875;-0,969697;-1,0909091;0,3479155;0,56595045
508;304;18261;0;494,09375;-8,205129;-7,3846154;-5,9367642;-5,164067
496;294;18789;0;503,4375;-1,2842809;-1,0702341;0,74069273;0,6757867
482;284;19161;0;504,5625;-12,444445;-8,888889;-9,920146;-6,9499154
467;274;19477;0;513,625;-1,6551725;-1,1034483;1,1905404;0,8590831
450;265;19761;0;515,15625;-11,102041;-5,877551;-6,169384;-3,1177814
431;255;19909;0;525,78125;-1,7882353;-0,9411765;0,8765935;0,46459997
412;245;20077;0;527,09375;-14,476191;-7,6190476;-9,667013;-5,087902
392;236;20085;0;527,90625;-24,615385;-11,076923;-12,479009;-4,255847
371;226;20125;0;537,15625;-2,2702703;-1,081081;2,4156883;1,0806316
350;217;20133;0;538,3125;-18,162163;-7,783784;-13,744339;-5,796932
329;209;20133;0;547,25;-2,3496504;-0,8951049;1,7692322;0,7707613
309;200;20137;0;548,34375;-18,285715;-8,228572;-14,570116;-6,704884
289;192;20137;0;557,03125;-2,3021584;-0,92086333;1,8398339;0,8411751
270;184;20137;0;558,40625;-13,818182;-5,818182;-8,37529;-3,5616865
251;176;20061;0;567,125;-2,1792114;-0,9175627;1,3349357;0,56207824
234;167;19989;0;568,5625;-11,826087;-6,2608695;-6,71087;-3,7170827
217;159;19989;0;577,46875;-1,9087719;-0,89824563;1,1135231;0,60211915
201;150;19989;0;578,75;-12,487804;-7,02439;-8,256806;-4,781381
187;141;19989;0;587,21875;-1,6531365;-1,0627307;1,2793704;0,70395976
174;133;19945;0;588,46875;-10,4;-6,4;-6,997491;-4,2698154
161;124;19797;0;597,125;-1,5018051;-1,0397112;1,0279503;0,6192391
150;115;19785;0;598,375;-8,8;-7,2;-5,838556;-4,9282312
141;106;19637;0;607,34375;-1,0034844;-1,0034844;0,8692979;0,6909007
133;97;19465;0;608,5625;-6,5641026;-7,3846154;-4,5625587;-5,2358
127;89;19357;0;617,0625;-0,7058824;-0,9411765;0,68920237;0,75805163
122;81;19161;0;618,40625;-3,7209303;-5,9534883;-2,2437568;-3,7300925
119;74;18989;0;627,125;-0,34408602;-0,8028674;0,38730833;0,59075224
117;67;18817;0;628,375;-1,6;-5,6;-1,0047312;-3,837706
117;61;18717;0;637,1875;0;-0,68085104;0,1815603;0,5582013
118;56;18481;0;638,53125;0,74418604;-3,7209303;0,55381286;-2,2623847
120;53;18273;0;646,75;0,243346;-0,36501902;-0,060938716;0,4083238
124;51;18061;0;648;3,2;-1,6;2,3653233;-0,98798484
129;50;17941;0;656,8125;0,5673759;-0,11347517;-0,2987375;0,16868366
135;51;17941;0;658,03125;4,923077;0,82051283;3,5739088;0,76634914
142;54;18037;0;667,34375;0,7516779;0,32214764;-0,44793546;-0,053515725
150;58;18249;0;668,78125;5,5652175;2,7826087;3,3485491;1,7116251
159;64;18605;0;677,34375;1,0510949;0,7007299;-0,52719676;-0,24313915
168;72;19149;0;678,71875;6,5454545;5,818182;3,9958978;3,7217834
177;81;19957;0;687,875;0,98293513;0,98293513;-0,6075107;-0,5280816
187;92;20677;0;689,15625;7,804878;8,585366;5,3244433;5,9336047
196;105;21261;0;698,125;1,0034844;1,4494773;-0,7583436;-0,7956392
206;119;21625;0;699,40625;7,804878;10,926829;5,308405;7,396958
216;133;21713;0;708,0625;1,1552347;1,6173285;-0,76818985;-1,0754658
225;149;21821;0;709,4375;6,5454545;11,636364;3,9201598;7,286571
234;166;21870;0;720,09375;0,8445748;1,595308;-0,5349799;-0,94226915
243;185;21870;0;721,40625;6,857143;14,476191;4,581004;9,814006
252;203;21874;0;730,4375;0,9965398;1,9930795;-0,64892495;-1,382213
262;222;21882;0;731,65625;8,205129;15,589744;5,9147396;11,156238
271;241;21930;0;740,375;1,032258;2,1792114;-0,82269484;-1,5381255
281;260;22090;0;742,0625;5,9259257;11,259259;2,8999512;5,380769
290;277;22466;0;751,21875;0,98293513;1,8566552;-0,5398488;-1,0269055
299;295;22790;0;752,5625;6,6976743;13,395349;4,252829;8,586935
307;311;23070;0;761,125;0,93430656;1,8686131;-0,67309403;-1,3461881
316;326;23238;0;762,59375;6,12766;10,212766;3,5359;5,681125
323;340;23506;0;763,96875;5,090909;10,181818;-0,7540006;-0,022507407
331;353;23518;0;774,875;0,7335244;1,191977;-0,39953098;-0,8242835
338;364;23518;0;776,375;4,6666665;7,3333335;2,6220949;4,094238
344;373;23518;0;785,4375;0,66206896;0,99310344;-0,44188663;-0,6996116
350;381;23446;0;786,96875;3,9183674;5,2244897;2,1265624;2,7633543
355;387;23346;0;787,90625;5,3333335;6,4;1,5092971;1,2538778
360;392;23334;0;796,375;0,5904059;0,5904059;-0,5600505;-0,68600374
364;394;23154;0;797,625;3,2;1,6;2,0876753;0,80767536
368;395;23022;0;806,78125;0,43686005;0,10921501;-0,30177638;-0,1628161
371;394;22826;0;807,8125;2,909091;-0,969697;2,3973148;-1,0462177
373;391;22586;0;814,46875;0,3004695;-0,45070422;-0,3919056;0,07797074
375;386;22366;0;823,21875;0,22857143;-0,5714286;-0,008216921;-0,013797072
377;379;22198;0;824,40625;1,6842105;-5,894737;1,2258013;-4,4827857
377;369;22198;0;830,875;0;-1,5458937;-0,26036105;0,6722849
377;357;22190;0;838,90625;0;-1,4941634;0;0,006441124
376;343;22186;0;840,3125;-0,7111111;-9,955556;-0,505679;-6,01699
374;327;22114;0;847,53125;-0,27705628;-2,2164502;0,06012881;1,072084
371;309;22054;0;848,5625;-2,909091;-17,454546;-2,5522761;-14,776336
368;291;21749;0;858,3125;-0,30769232;-1,8461539;0,26681012;1,6008607
364;272;21345;0;859,3125;-4;-19;-3,6923077;-17,153847
360;253;21189;0;865,78125;-0,6183575;-2,9371982;0,522766;2,4831383
356;235;20957;0;872,15625;-0,627451;-2,8235295;-0,001426435;0,017830381
352;217;20957;0;878,53125;-0,627451;-2,8235295;0;0
349;201;20993;0;879,53125;-3;-16;-2,372549;-13,176471
346;185;21105;0;887,25;-0,38866398;-2,0728745;0,33831075;1,804324
343;172;21249;0;888,5;-2,4;-10,4;-1,6090689;-6,6617002
341;160;21309;0;894,875;-0,3137255;-1,882353;0,32725877;1,3361014
340;149;21469;0;901,75;-0,14545454;-1,6;0,024475776;0,041069515
339;141;21565;0;908,3125;-0,15238096;-1,2190477;-0,001055454;0,058049884
339;134;21573;0;909,3125;0;-7;0,15238096;-5,7809525
340;129;21573;0;915,5;0,16161616;-0,8080808;0,026119784;1,0007142
342;126;21525;0;922,34375;0,29223743;-0,43835616;0,019086214;0,05402369
344;124;21465;0;928,9375;0,30331755;-0,30331755;0,0016803967;0,020479789
348;124;21293;0;929,8125;4,571429;0;4,8778415;0,34664863
352;125;21137;0;936,125;0,63366336;0,15841584;-0,6238044;0,025095578
357;129;21129;0;942,53125;0,7804878;0,62439024;0,022918934;0,07273746
363;135;21017;0;943,75;4,923077;4,923077;3,3990479;3,5271277
371;144;20825;0;950,21875;1,236715;1,3913044;-0,56987244;-0,5459745
380;154;20689;0;956,53125;1,4257426;1,5841584;0,029944977;0,030551136
390;165;20689;0;957,59375;9,411765;10,3529415;7,5162563;8,252973
400;176;20761;0;964,15625;1,5238096;1,6761905;-1,2019742;-1,3221716
411;186;21041;0;971,3125;1,537118;1,3973799;0,00185969;-0,038960434
421;196;21577;0;978,5625;1,3793104;1,3793104;-0,021766564;-0,0024923456
432;204;22354;0;979,78125;9,025641;6,5641026;6,2739124;4,2541885
441;210;23142;0;986,90625;1,2631578;0,84210527;-1,0894713;-0,80308735
450;214;23602;0;988,125;7,3846154;3,2820513;5,0227346;2,002007
457;217;24230;0;995,09375;1,0044843;0,43049327;-0,91553456;-0,40919217
464;217;24650;0;1001,9375;1,0228311;0;0,002680809;-0,06290313
469;216;24770;0;1009,15625;0,6926407;-0,13852814;-0,045740657;-0,019190045
474;214;24770;0;1010,21875;4,7058825;-1,882353;3,7771688;-1,6412469
477;210;24674;0;1017,3125;0,4229075;-0,5638766;-0,60376745;0,18586451
481;204;24518;0;1018,28125;4,129032;-6,193548;3,825677;-5,811274
483;197;24386;0;1024,8125;0,30622008;-1,0717703;-0,58531094;0,78419566
485;189;24206;0;1031,7188;0,28959277;-1,1583711;-0,0024075746;-0,01253948
487;179;23866;0;1039,2188;0,26666668;-1,3333334;-0,0030568123;-0,023328304
487;169;23298;0;1040,3438;0;-8,888889;-0,23703705;-6,7160497
488;159;22646;0;1046,5938;0,16;-1,6;0,0256;1,1662223
489;149;21978;0;1047,5312;1,0666667;-10,666667;0,96711123;-9,671111
491;140;21457;0;1054;0,30917874;-1,3913044;-0,1170996;1,4338726
493;133;21093;0;1060,375;0,3137255;-1,0980393;0,0007132175;0,04600237
497;126;20825;0;1066,7188;0,63054186;-1,1034483;0,049941495;-0,0008526506
503;120;20689;0;1067,7188;6;-6;5,369458;-4,8965516
510;116;20689;0;1074,0625;1,1034483;-0,63054186;-0,7718702;0,84641707
