x;y;pressure;z;time;velocityx;velocityy;accelx;accely
16;230;3464;0;0;0;0;0;0
16;230;5640;0;8,8125;0;0;0;0
16;230;8268;0;10;0;0;0;0
16;230;9316;0;18,96875;0;0;0;0
16;230;9576;0;20,59375;0;0;0;0
16;230;9808;0;29,6875;0;0;0;0
16;230;9988;0;30,9375;0;0;0;0
16;230;9988;0;40,03125;0;0;0;0
16;230;9936;0;41,65625;0;0;0;0
16;230;9936;0;50,09375;0;0;0;0
15;231;10112;0;51,625;-0,6530612;0,6530612;-0,42648897;0,42648897
15;231;10592;0;61,1875;0;0;0,06829398;-0,06829398
15;232;10784;0;62,59375;0;0,7111111;0;0,505679
16;233;10784;0;71,46875;0,112676054;0,112676054;0,012695894;-0,067429304
17;235;10688;0;72,875;0,7111111;1,4222223;0,4255538;0,93123287
18;237;10688;0;81,9375;0,11034483;0,22068965;-0,06629145;-0,1325829
20;240;10712;0;83,3125;1,4545455;2,1818182;0,97760046;1,4262754
22;243;10716;0;92,125;0,22695035;0,34042552;-0,13930157;-0,20895237
25;245;10724;0;93,59375;2,0425532;1,3617021;1,236155;0,69533724
28;248;10788;0;103,25;0,3106796;0,3106796;-0,1793526;-0,10884376
31;251;10840;0;110,59375;0,40851063;0,40851063;0,01332167;0,01332167
34;253;10844;0;111,84375;2,4;1,6;1,5931915;0,9531916
37;256;10856;0;112,90625;2,8235295;2,8235295;0,3986159;1,1515571
40;258;10864;0;121,8125;0,33684212;0,22456141;-0,27920702;-0,29181394
43;261;10864;0;123,1875;2,1818182;2,1818182;1,3418008;1,4234595
47;263;10796;0;132,0625;0,45070422;0,22535211;-0,1950551;-0,2204469
50;265;10796;0;133,3125;2,4;1,6;1,5594367;1,0997183
54;267;10804;0;141,90625;0,46545455;0,23272727;-0,22511075;-0,15910083
57;268;10804;0;143,375;2,0425532;0,68085104;1,0737692;0,30510554
60;270;10752;0;152,1875;0,34042552;0,22695035;-0,19314924;-0,051506463
64;271;10752;0;153,4375;3,2;0,8;2,2876596;0,45843974
67;272;10660;0;162,40625;0,33449477;0,11149826;-0,31949884;-0,07676675
70;273;10648;0;163,5625;2,5945945;0,8648649;1,9546808;0,65156037
73;274;10532;0;172,78125;0,32542372;0,108474575;-0,24614733;-0,082049124
76;275;10364;0;174,75;1,5238096;0,50793654;0,6087039;0,2029013
79;276;10312;0;176,15625;2,1333334;0,7111111;0,43343922;0,1444797
82;276;10304;0;185,5625;0,31893688;0;-0,19289267;-0,07559986
85;276;10240;0;186,8125;2,4;0;1,6648506;0
