x;y;pressure;z;time;velocityx;velocityy;accelx;accely
84;430;8528;0;0;0;0;0;0
84;430;9988;0;9,328125;0;0;0;0
84;430;10504;0;10,6875;0;0;0;0
84;430;10608;0;19,78125;0;0;0;0
84;430;10724;0;21,203125;0;0;0;0
84;430;11073;0;31;0;0;0;0
84;430;11821;0;32,21875;0;0;0;0
84;430;12689;0;41,3125;0;0;0;0
84;430;13621;0;43,546875;0;0;0;0
84;430;14485;0;52,8125;0;0;0;0
83;431;15381;0;54,25;-0,6956522;0,6956522;-0,48393196;0,48393196
83;431;16301;0;65,140625;0;0;0,06387624;-0,06387624
83;431;17149;0;66,75;0;0;0;0
83;431;17957;0;67,828125;0;0;0;0
83;431;18685;0;78,703125;0;0;0;0
83;431;19285;0;80,125;0;0;0;0
83;431;19741;0;81,640625;0;0;0;0
83;431;20045;0;91,234375;0;0;0;0
83;431;20317;0;93,25;0;0;0;0
83;431;20545;0;102,34375;0;0;0;0
83;431;20741;0;103,875;0;0;0;0
83;431;20925;0;114,625;0;0;0;0
83;431;21085;0;115,921875;0;0;0;0
83;431;21157;0;117,546875;0;0;0;0
83;430;21157;0;128,39062;0;-0,09221902;0;-0,008504348
83;430;21265;0;129,98438;0;0;0;0,05786291
83;428;21497;0;131,29688;0;-1,5238096;0;-1,1609977
83;427;21729;0;141,70312;0;-0,0960961;0;0,13719769
83;425;21910;0;143,98438;0;-0,8767123;0;-0,34218794
83;423;21982;0;153,40625;0;-0,21227197;0;0,07052103
83;422;21990;0;154,92188;0;-0,6597938;0;-0,2952721
83;420;21990;0;156,26562;0;-1,4883721;0;-0,6166164
83;419;21982;0;165,92188;0;-0,103559874;0;0,14341098
83;418;21974;0;167,54688;0;-0,61538464;0;-0,3149691
83;417;21962;0;178,3125;0;-0,09288824;0;0,048533775
83;416;21902;0;179,8125;0;-0,6666667;0;-0,38251898
83;415;21894;0;180,95312;0;-0,8767123;0;-0,1841496
84;414;21846;0;190,8125;0,10142631;-0,10142631;0,010287296;0,078634396
84;413;21785;0;193,04688;0;-0,44755244;-0,045393594;-0,1549096
85;412;21777;0;194,48438;0,6956522;-0,6956522;0,48393196;-0,17259112
85;410;21765;0;204,10938;0;-0,20779221;-0,07227555;0,05068675
85;410;21701;0;207,70312;0;0;0;0,05782044
86;409;21689;0;217,46875;0,1024;-0,1024;0,01048576;-0,01048576
86;408;21677;0;218,9375;0;-0,68085104;-0,06971915;-0,393839
86;408;21545;0;220,15625;0;0;0;0,55864704
86;407;21033;0;230,125;0;-0,10031348;0;-0,010062794
86;407;20521;0;231,5;0;0;0;0,07295526
87;406;19901;0;241,46875;0,10031348;-0,10031348;0,010062794;-0,010062794
87;405;19113;0;243,4375;0;-0,50793654;-0,050952878;-0,20704663
87;404;18201;0;244,65625;0;-0,82051283;0;-0,25647286
87;403;16801;0;254,20312;0;-0,10474632;0;0,0749739
87;402;14853;0;255,89062;0;-0,5925926;0;-0,2890941
87;402;12333;0;266,07812;0;0;0;0,058168598
87;401;7672;0;267,375;0;-0,7710843;0;-0,59457105
86;401;1472;0;268,73438;-0,7356322;0;-0,5411547;0,56723446
86;401;0;0;270,28125;0;0;0,4755602;0
84;401;0;24;280,125;-0,2031746;0;-0,02063996;0
83;402;0;96;281,4375;-0,7619048;0,7619048;-0,42569917;0,5804989
81;402;0;168;284,03125;-0,7710843;0;-0,0035390968;-0,2937464
80;403;0;240;290,0625;-0,1658031;0,1658031;0,10035751;0,02749067
78;404;0;341;293,95312;-0,5140562;0,2570281;-0,089510836;0,023447389
75;404;0;413;300,09375;-0,48854962;0;0,0041537443;-0,041856993
72;404;0;485;304,15625;-0,73846155;0;-0,061516784;0
69;404;0;533;310,14062;-0,50130546;0;0,039629217;0
66;404;0;605;314,0625;-0,76494026;0;-0,06722162;0
64;403;0;653;320,60938;-0,30548927;-0,15274464;0,07017867;-0,023330923
