x;y;pressure;z;time;velocityx;velocityy;accelx;accely
19;86;4376;0;0;0;0;0;0
19;86;7668;0;9,3125;0;0;0;0
19;86;7668;0;10,46875;0;0;0;0
19;86;7228;0;18,9375;0;0;0;0
19;86;5756;0;20,4375;0;0;0;0
19;86;1104;0;29,15625;0;0;0;0
18;86;0;0;30,34375;-0,84210527;0;-0,70914125;0
16;85;0;0;31,40625;-1,882353;-0,9411765;-0,97905666;-0,8858132
15;84;0;40;40,9375;-0,10491803;-0,10491803;0,18648498;0,08773859
13;83;0;80;42,34375;-1,4222223;-0,7111111;-0,9367497;-0,43107063
12;83;0;164;46,40625;-0,24615385;0;0,28949377;0,17504273
11;83;0;248;50,21875;-0,26229507;0;-0,004233763;0
10;83;0;332;57,0625;-0,14611872;0;0,01697554;0
9;83;0;393;60,1875;-0,32;0;-0,05564201;0
9;84;0;457;66,375;0;0,16161616;0,05171717;0,026119784
9;86;0;521;70,09375;0;0,53781515;0;0,10116276
9;88;0;561;76,28125;0;0,32323232;0;-0,034680054
9;91;0;625;80,125;0;0,7804878;0;0,11896077
9;94;0;645;86,4375;0;0,47524753;0;-0,04835489
11;97;0;686;90,15625;0,53781515;0,8067227;0,14462256;0,08913618
13;100;0;706;96,375;0,32160804;0,48241207;-0,034766972;-0,052150454
14;103;0;750;100,03125;0,2735043;0,82051283;-0,013156581;0,092472
15;106;0;770;106,5;0,15458937;0,46376812;-0,018382983;-0,05514894
16;107;0;790;110,3125;0,26229507;0,26229507;0,028250676;-0,052845392
16;109;0;790;116,375;0;0,3298969;-0,043265164;0,011150817
16;110;0;810;120,21875;0;0,2601626;0;-0,018142259
16;111;0;834;126,40625;0;0,16161616;0;-0,015926696
16;112;0;854;130,0625;0;0,2735043;0;0,03060188
16;113;0;874;136,375;0;0,15841584;0;-0,018231833
16;114;0;894;140,1875;0;0,26229507;0;0,02724701
16;115;0;914;146,28125;0;0,16410257;0;-0,01611364
16;117;0;938;150,1875;0;0,512;0;0,08906175
17;119;0;958;156,34375;0,16243654;0,3248731;0,026385631;-0,030396253
17;122;0;978;160,1875;0;0,7804878;-0,042259913;0,1185339
18;125;0;978;166;0,17204301;0,516129;0,029598797;-0,04548108
18;130;0;998;170,03125;0;1,2403101;-0,042677335;0,17964181
19;135;0;998;175,96875;0,16842106;0,84210527;0,028365653;-0,06706607
19;141;0;998;180,40625;0;1,3521127;-0,03795404;0,11493124
20;147;0;1023;186,0625;0,17679559;1,0607735;0,03125668;-0,051507477
20;153;0;998;189,96875;0;1,536;-0,04525967;0,12165799
21;159;0;998;196,34375;0,15686275;0,9411765;0,024605922;-0,093305655
22;164;0;998;200,1875;0,2601626;1,300813;0,026874755;0,09356397
23;170;0;978;206,5;0,15841584;0,95049506;-0,016118297;-0,055495903
24;175;0;978;210,125;0,27586207;1,3793104;0,03239896;0,118293874
26;180;0;958;216,28125;0,3248731;0,8121827;0,007961181;-0,09212226
27;185;0;958;220,1875;0,256;1,28;-0,017631508;0,11976121
29;191;0;958;226,125;0,33684212;1,0105263;0,013615513;-0,04538504
31;197;0;938;230,03125;0,512;1,536;0,044840425;0,13452128
32;203;0;938;236,59375;0,15238096;0,9142857;-0,0547991;-0,09473742
34;209;0;938;240,0625;0,5765766;1,7297298;0,12229063;0,23508297
35;213;0;914;246,625;0,15238096;0,60952383;-0,06463934;-0,17069803
36;216;0;894;250,125;0,2857143;0,85714287;0,03809524;0,07074829
37;219;0;874;256,375;0,16;0,48;-0,020114288;-0,06034286
37;221;0;854;260;0;0,55172414;-0,04413793;0,019785972
37;223;0;834;266,5;0;0,30769232;0;-0,037543356
36;224;0;810;270;-0,2857143;0,2857143;-0,08163266;-0,0062794345
36;225;0;790;276,40625;0;0,15609756;0,044599306;-0,020232856
36;226;0;770;280,1875;0;0,2644628;0;0,028658574
37;228;0;750;286,34375;0,16243654;0,3248731;0,026385631;0,009812839
38;229;0;730;290,25;0,256;0,256;0,023952248;-0,017631508
38;231;0;706;296,25;0;0,33333334;-0,04266667;0,012888889
38;233;0;686;300,3125;0;0,4923077;0;0,039132148
39;236;0;665;304,1875;0,2580645;0,7741935;0,06659729;0,072744735
39;239;0;645;310,59375;0;0,46829268;-0,04028324;-0,047750376
39;242;0;625;314,125;0;0,8495575;0;0,1079688
39;246;0;601;320,40625;0;0,6368159;0;-0,03386931
39;249;0;601;324,15625;0;0,8;0;0,04351576
40;252;0;581;330,40625;0,16;0,48;0,0256;-0,051200002
40;255;0;561;334,03125;0;0,82758623;-0,04413793;0,09588586
41;258;0;541;340,28125;0,16;0,48;0,0256;-0,0556138
42;261;0;521;344,15625;0,2580645;0,7741935;0,025306972;0,07592091
43;263;0;497;350,28125;0,1632653;0,3265306;-0,015477422;-0,07308783
44;266;0;477;354,03125;0,26666668;0,8;0,027573701;0,1262585
45;269;0;457;360,34375;0,15841584;0,47524753;-0,017148647;-0,05144594
46;271;0;417;364,1875;0,2601626;0,5203252;0,0264707;0,011727519
47;273;0;373;370,03125;0,171123;0,342246;-0,015236722;-0,030473445
47;275;0;353;377,34375;0;0,2735043;-0,023401435;-0,009400575
48;276;0;312;380,21875;0,3478261;0,3478261;0,12098299;0,025851063
49;277;0;268;384;0,2644628;0,2644628;-0,022046492;-0,022046492
49;279;0;228;390,34375;0;0,31527093;-0,041688718;0,008009164
51;281;0;184;394,15625;0,52459013;0,52459013;0,13759741;0,0549034
52;285;0;144;400,34375;0,16161616;0,64646465;-0,058662463;0,019696891
53;289;0;80;404,25;0,256;1,024;0,024162266;0,096649066
55;293;0;40;410,28125;0,3316062;0,6632124;0,0125357425;-0,05981971
56;297;0;0;414,09375;0,26229507;1,0491803;-0,018179972;0,10123747
56;301;0;0;420,125;0;0,6632124;-0,043489337;-0,06399467
56;305;0;0;424,3125;0;0,95522386;0;0,069734074
55;309;1056;0;430,59375;-0,15920398;0,6368159;-0,025345907;-0,050691813
55;314;5972;0;439,5625;0;0,5574913;0,017750965;-0,008844555
54;319;6440;0;441,125;-0,64;3,2;-0,4096;1,6912056
54;326;6440;0;449,75;0;0,8115942;0,074202895;-0,27691662
54;331;6400;0;451,53125;0;2,8070176;0;1,1202377
53;336;6320;0;461,40625;-0,101265825;0,5063291;-0,010254767;-0,23298112
52;341;6320;0;462,75;-0,74418604;3,7209303;-0,47845224;2,3922615
51;344;6792;0;471,3125;-0,11678832;0,35036495;0,07327273;-0,39364266
50;346;7844;0;473,09375;-0,5614035;1,122807;-0,24960853;0,43365172
48;348;9216;0;474,40625;-1,5238096;1,5238096;-0,73326176;0,30552572
46;349;10392;0;482,71875;-0,24060151;0,120300755;0,15437089;-0,16884317
44;350;11501;0;484,03125;-1,5238096;0,7619048;-0,9776823;0,48884115
41;351;12117;0;493,53125;-0,31578946;0,10526316;0,12716001;-0,06912017
38;351;12197;0;494,78125;-2,4;0;-1,6673685;-0,08421053
34;351;12197;0;503,28125;-0,47058824;0;0,22698963;0
31;349;11941;0;504,75;-2,0425532;-1,3617021;-1,070274;-0,92711633
27;347;11425;0;513,625;-0,45070422;-0,22535211;0,17936327;0,12803943
