x;y;pressure;z;time;velocityx;velocityy;accelx;accely
46;149;10496;0;0;0;0;0;0
46;149;15453;0;9;0;0;0;0
46;149;15453;0;10,34375;0;0;0;0
46;149;14925;0;19,3125;0;0;0;0
46;149;14925;0;20,96875;0;0;0;0
46;149;15073;0;30,875;0;0;0;0
46;149;15765;0;32,1875;0;0;0;0
46;149;16321;0;40,6875;0;0;0;0
46;149;16521;0;42,21875;0;0;0;0
46;149;16525;0;51,125;0;0;0;0
50;151;17061;0;53,03125;2,0983605;1,0491803;1,1007793;0,55038965
52;153;18017;0;54,59375;1,28;1,28;-0,5237508;0,14772461
56;155;19137;0;65,6875;0,36056337;0,18028168;-0,08287879;-0,09912954
59;157;19873;0;67,40625;1,7454545;1,1636363;0,80575484;0,5721336
62;159;20301;0;75,90625;0,3529412;0,23529412;-0,16382511;-0,109216735
65;160;20533;0;77,40625;2;0,6666667;1,0980393;0,2875817
68;162;20621;0;86,46875;0,33103448;0,22068965;-0,18416172;-0,04921126
71;163;20693;0;87,78125;2,2857144;0,7619048;1,48928;0,41235438
74;164;20705;0;97,40625;0,3116883;0,103896104;-0,20509362;-0,06836454
77;166;20705;0;98,9375;1,9591837;1,3061224;1,0759153;0,78512734
79;167;20705;0;100,15625;1,6410257;0,82051283;-0,26105276;-0,39844888
82;167;20609;0;108,59375;0,35555556;0;-0,15235202;-0,09724597
84;168;20473;0;110,03125;1,3913044;0,6956522;0,7205209;0,48393196
86;169;20365;0;119;0,22299652;0,11149826;-0,1302643;-0,06513215
87;169;20241;0;120,71875;0,58181816;0;0,20876895;-0,06487171
88;169;20021;0;130,5;0,10223642;0;-0,04903072;0
88;169;19629;0;132,09375;0;0;-0,064148344;0
88;169;19017;0;140,9375;0;0;0;0
89;169;18277;0;142,28125;0,74418604;0;0,55381286;0
89;169;17073;0;151,5625;0;0;-0,08018166;0
88;168;14929;0;153,21875;-0,6037736;-0,6037736;-0,36454254;-0,36454254
87;167;12705;0;154,46875;-0,8;-0,8;-0,15698114;-0,15698114
84;164;10236;0;164,28125;-0,3057325;-0,3057325;0,05037121;0,05037121
82;162;4568;0;165,90625;-1,2307693;-1,2307693;-0,5692534;-0,5692534
82;162;0;0;167,28125;0;0;0,89510494;0,89510494
75;158;0;0;168,5625;-5,4634147;-3,121951;-4,2641287;-2,4366448
71;156;0;52;177,0625;-0,47058824;-0,23529412;0,5873914;0,3396067
66;154;0;128;178,78125;-2,909091;-1,1636363;-1,4187653;-0,5401264
62;151;0;208;183,96875;-0,7710843;-0,57831323;0,41214585;0,112833366
57;148;0;260;187,53125;-1,4035088;-0,84210527;-0,17752266;-0,07404689
54;146;0;312;193,90625;-0,47058824;-0,3137255;0,14634049;0,082883105
51;143;0;341;197,84375;-0,7619048;-0,7619048;-0,07398515;-0,11382331
48;141;0;341;204,03125;-0,4848485;-0,32323232;0,04477677;0,07089656
46;138;0;312;207,71875;-0,5423729;-0,8135593;-0,015599833;-0,13297002
45;135;0;284;213,75;-0,1658031;-0,4974093;0,06243644;0,05241865
44;133;0;260;217,5625;-0,26229507;-0,52459013;-0,025309367;-0,0071293954
44;131;0;208;223,9375;0;-0,3137255;0,041144323;0,033076804
44;129;0;180;227,5;0;-0,5614035;0;-0,069523655
43;127;0;128;234,09375;-0,15165877;-0,30331755;-0,023000382;0,039141
43;126;0;76;237,53125;0;-0,29090908;0,044118915;0,0036097353
44;125;0;0;243,9375;0,15609756;-0,15609756;0,024366448;0,02104375
44;124;0;0;247,53125;0;-0,27826086;-0,04343584;-0,033993267
45;123;0;0;253,9375;0,15609756;-0,15609756;0,024366448;0,019069392
45;122;0;0;257,46875;0;-0,28318584;-0,04420462;-0,0359896
45;122;14533;0;264,09375;0;0;0;0,04274503
45;122;15125;0;272,6875;0;0;0;0
45;122;15125;0;274,09375;0;0;0;0
45;122;15125;0;284,21875;0;0;0;0
45;122;15653;0;285,3125;0;0;0;0
45;122;16985;0;293,8125;0;0;0;0
50;125;18493;0;296,0625;2,2222223;1,3333334;0,9876544;0,5925926
52;126;19701;0;304,53125;0,23616236;0,11808118;-0,2345163;-0,1434984
55;128;20677;0;305,8125;2,3414633;1,5609756;1,6431617;1,1261615
57;130;21433;0;316,40625;0,18879056;0,18879056;-0,20320214;-0,12952779
60;132;22042;0;317,46875;2,8235295;1,882353;2,4797542;1,5939411
62;133;22730;0;318,5;1,939394;0,969697;-0,8573435;-0,8849997
65;135;23346;0;327,25;0,34285715;0,22857143;-0,18246135;-0,08470007
67;136;23782;0;329,71875;0,8101266;0,4050633;0,1892737;0,07149038
70;138;24014;0;338,21875;0,3529412;0,23529412;-0,05378652;-0,019972846
72;139;24122;0;340,1875;1,0158731;0,50793654;0,33672732;0,13848504
75;141;24130;0;350,40625;0,29357797;0,19571866;-0,070683315;-0,030553432
78;142;24130;0;352,34375;1,548387;0,516129;0,64764345;0,1653731
81;143;24070;0;353,65625;2,2857144;0,7619048;0,5617732;0,18725772
83;144;24010;0;362,9375;0,21548821;0,107744105;-0,22305468;-0,070481956
86;146;23910;0;364,5;1,92;1,28;1,0908875;0,7502438
89;147;23826;0;374;0,31578946;0,10526316;-0,16886427;-0,12365651
91;147;23610;0;375,1875;1,6842105;0;1,1523546;-0,08864266
93;148;23150;0;384,9375;0,20512821;0,102564104;-0,15170075;0,010519396
94;148;22462;0;386,21875;0,7804878;0;0,44906113;-0,08005003
94;148;21561;0;395,1875;0;0;-0,08702303;0
95;148;20257;0;397,0625;0,53333336;0;0,28444445;0
95;148;18109;0;398,15625;0;0;-0,48761907;0
93;146;15121;0;406,625;-0,23616236;-0,23616236;-0,027886331;-0,027886331
91;144;12617;0;408,4375;-1,1034483;-1,1034483;-0,47850257;-0,47850257
87;141;9620;0;418,0625;-0,41558442;-0,3116883;0,07146637;0,08226077
83;138;3036;0;419,6875;-2,4615386;-1,8461539;-1,2590487;-0,94428647
83;138;0;0;420,90625;0;0;2,019724;1,5147929
75;135;0;0;429,40625;-0,9411765;-0,3529412;-0,11072665;-0,04152249
72;133;0;48;430,75;-2,2325583;-1,4883721;-0,96102834;-0,84497184
67;130;0;124;433,375;-1,9047619;-1,1428572;0,12487479;0,13162473
62;128;0;176;437,4375;-1,2307693;-0,4923077;0,16590588;0,16013527
56;124;0;228;443,59375;-0,97461927;-0,6497462;0,04160812;-0,025573764
52;121;0;304;447,96875;-0,9142857;-0,6857143;0,0137905255;-0,008221285
47;118;0;328;453,59375;-0,8888889;-0,53333336;0,004514991;0,027089946
42;114;0;357;457,5;-1,28;-1,024;-0,10012443;-0,12561068
38;110;0;357;463,625;-0,6530612;-0,6530612;0,10235735;0,060561445
33;106;0;328;467,5625;-1,2698413;-1,0158731;-0,15664257;-0,09214269
29;101;0;304;473,5625;-0,6666667;-0,8333333;0,100529104;0,030423293
25;96;0;228;477,875;-0,92753625;-1,1594203;-0,06049149;-0,07561436
20;91;0;176;483,9375;-0,82474226;-0,82474226;0,01695571;0,05520462
16;87;0;124;487,78125;-1,0406504;-1,0406504;-0,056171216;-0,056171216
13;82;0;76;494,09375;-0,47524753;-0,7920792;0,08956877;0,039377607
10;78;0;24;497,65625;-0,84210527;-1,122807;-0,10297761;-0,09283588
8;75;0;0;504,09375;-0,3106796;-0,46601942;0,08255156;0,10202526
7;72;0;0;507,625;-0,28318584;-0,8495575;0,007785848;-0,10861256
6;70;0;0;514,09375;-0,15458937;-0,30917874;0,019879647;0,08353682
6;69;0;0;517,625;0;-0,28318584;0,04377752;0,007360821
6;69;0;0;524,09375;0;0;0;0,04377752
6;69;9852;0;527,59375;0;0;0;0
6;69;14693;0;537;0;0;0;0
6;69;14693;0;538,40625;0;0;0;0
6;69;14021;0;547,9375;0;0;0;0
6;69;14021;0;549,28125;0;0;0;0
6;69;14905;0;557,78125;0;0;0;0
9;73;15861;0;558,9375;2,5945945;3,4594595;2,2439735;2,991965
12;75;16881;0;568,65625;0,30868167;0,20578778;-0,23520645;-0,33478293
16;78;17737;0;569,875;3,2820513;2,4615386;2,439688;1,8508723
20;82;18453;0;579,09375;0,4338983;0,4338983;-0,3089522;-0,21994743
24;85;18973;0;580,5625;2,7234042;2,0425532;1,5588126;1,0952544
28;88;19473;0;588,71875;0,49042144;0,3678161;-0,27377564;-0,20533176
33;91;20173;0;590,40625;2,9629629;1,7777778;1,4652097;0,83553284
39;94;20733;0;599,46875;0,66206896;0,33103448;-0,25389174;-0,15964064
45;98;21185;0;600,9375;4,0851064;2,7234042;2,3305788;1,6288475
51;101;21621;0;610,3125;0,64;0,32;-0,367478;-0,25636312
58;105;22050;0;611,96875;4,226415;2,4150944;2,1653829;1,2649627
65;108;22362;0;620,21875;0,8484849;0,36363637;-0,4094461;-0,24866156
73;111;22498;0;621,46875;6,4;2,4;4,441212;1,6290909
80;114;22594;0;631,875;0,6726727;0,2882883;-0,5503738;-0,20292726
87;117;22606;0;633,4375;4,48;1,92;2,4366894;1,0442955
93;120;22614;0;634,71875;4,6829267;2,3414633;0,15838176;0,328947
99;122;22614;0;643,5;0,68327403;0,227758;-0,45547646;-0,24070667
105;125;22698;0;644,9375;4,173913;2,0869565;2,4282706;1,2933555
111;127;22698;0;653,53125;0,6981818;0,23272727;-0,40444872;-0,21576485
116;129;22674;0;655,03125;3,3333333;1,3333334;1,7567676;0,7337374
121;130;22674;0;665,625;0,4719764;0,09439528;-0,27009857;-0,11694991
125;131;22662;0;667,125;2,6666667;0,6666667;1,4631268;0,38151428
129;132;22614;0;668,1875;3,764706;0,9411765;1,0334486;0,25836214
132;133;22530;0;676,96875;0,34163702;0,113879;-0,3898157;-0,09421181
135;134;22458;0;678,625;1,8113208;0,6037736;0,8873562;0,29578543
137;134;22334;0;687,28125;0,23104693;0;-0,18255872;-0,06975002
138;134;22142;0;689,53125;0,44444445;0;0,09484334;0
139;134;21765;0;699,78125;0,09756097;0;-0,03384229;0
140;134;21241;0;701,09375;0,7619048;0;0,50616676;0
140;134;20597;0;710,15625;0;0;-0,084072255;0
140;134;19753;0;711,65625;0;0;0;0
140;134;18413;0;720,8125;0;0;0;0
139;134;17049;0;722,25;-0,6956522;0;-0,48393196;0
137;133;15117;0;723,65625;-1,4222223;-0,7111111;-0,5166721;-0,505679
135;132;10180;0;733,53125;-0,20253165;-0,101265825;0,12351297;0,061756484
131;132;904;0;735;-2,7234042;0;-1,7163388;0,06894694
131;132;0;0;736,40625;0;0;1,936643;0
122;132;0;76;737,65625;-7,2;0;-5,7599998;0
115;133;0;176;746,65625;-0,7777778;0,11111111;0,71358025;0,012345679
109;135;0;280;747,96875;-4,571429;1,5238096;-2,890401;1,0763416
103;136;0;381;753,9375;-1,0052356;0,16753927;0,5974774;-0,22722854
97;139;0;485;757,3125;-1,7777778;0,8888889;-0,2289014;0,21373321
93;141;0;533;763,71875;-0,62439024;0,31219512;0,18004099;-0,09002049
89;144;0;613;767,5625;-1,0406504;0,7804878;-0,108295314;0,12183224
86;147;0;637;773,65625;-0,4923077;0,4923077;0,08998445;-0,04729109
84;150;0;661;777,5625;-0,512;0,768;-0,005041237;0,070577234
81;153;0;661;783,75;-0,4848485;0,4848485;0,004388125;-0,04576186
79;156;0;661;787,34375;-0,5565217;0,8347826;-0,01994385;0,097372964
77;159;0;661;793,6875;-0,31527093;0,4729064;0,038029682;-0,05704452
75;162;0;661;797,71875;-0,49612403;0,74418604;-0,044862784;0,06729417
73;166;0;637;804,0625;-0,31527093;0,63054186;0,028508862;-0,017914355
71;168;0;637;807,4375;-0,5925926;0,5925926;-0,082169384;-0,011244226
68;171;0;637;813,78125;-0,4729064;0,4729064;0,018866789;-0,018866789
66;173;0;613;817,625;-0,5203252;0,5203252;-0,012336591;0,012336591
65;175;0;585;823,71875;-0,16410257;0,32820514;0,058457047;-0,031527393
64;176;0;561;828,15625;-0,22535211;0,22535211;-0,013802713;-0,023178147
63;177;0;509;834,03125;-0,17021276;0,17021276;0,009385421;-0,009385421
61;179;0;485;837,65625;-0,55172414;0,55172414;-0,105244525;0,105244525
60;180;0;409;843,8125;-0,16243654;0,16243654;0,06323453;-0,06323453
59;182;0;328;847,90625;-0,24427481;0,48854962;-0,019991027;0,07966121
59;184;0;252;853,90625;0;0,33333334;0,04071247;-0,025869379
59;186;0;176;857,875;0;0,503937;0;0,04298675
59;187;0;76;863,9375;0;0,16494845;0;-0,055915635
60;189;0;0;867,40625;0,2882883;0,5765766;0,08311014;0,118667565
61;191;0;0;874,0625;0,15023474;0,3004695;-0,02074044;-0,04148088
61;192;0;0;877,65625;0;0,27826086;-0,04180445;-0,006179793
61;193;13389;0;881,84375;0;0,23880596;0;-0,009422064
61;193;18137;0;890,46875;0;0;0;-0,027687648
61;193;18137;0;891,9375;0;0;0;0
61;193;18137;0;901,1875;0;0;0;0
61;193;17641;0;902,53125;0;0;0;0
61;193;17197;0;911,4375;0;0;0;0
61;193;16957;0;913,09375;0;0;0;0
61;193;16957;0;921,5;0;0;0;0
61;193;17901;0;922,9375;0;0;0;0
62;187;19013;0;933,03125;0,099071205;-0,5944272;0,009815104;-0,058890622
63;182;19957;0;934,46875;0,6956522;-3,4782608;0,41501287;-2,006145
63;178;20605;0;943,71875;0;-0,43243244;-0,07520564;0,32927874
63;172;21177;0;945,65625;0;-3,096774;0;-1,3751441
63;166;21649;0;954,9375;0;-0,64646465;0;0,2640064
63;160;22162;0;956,34375;0;-4,266667;0;-2,574366
62;152;22694;0;966,46875;-0,09876543;-0,79012346;-0,00975461;0,3433623
60;143;23190;0;968,03125;-1,28;-5,76;-0,75599015;-3,180721
59;133;23626;0;969,21875;-0,84210527;-8,421053;0,36875343;-2,2408864
57;123;23990;0;978,71875;-0,21052632;-1,0526316;0,06648199;0,7756233
54;113;24290;0;979,90625;-2,5263157;-8,421053;-1,9501384;-6,2049866
51;103;24542;0;988,34375;-0,35555556;-1,1851852;0,25727528;0,8575843
48;93;24770;0;989,65625;-2,2857144;-7,6190476;-1,4705973;-4,9019904
44;84;24966;0;999,34375;-0,41290322;-0,92903227;0,19332245;0,6905822
41;75;25158;0;1000,96875;-1,8461539;-5,5384617;-0,8820004;-2,836572
37;67;25374;0;1002,4375;-2,7234042;-5,4468083;-0,5972768;0,06240228
33;59;25566;0;1012,5;-0,39751554;-0,7950311;0,2311442;0,4622884
30;52;25710;0;1013,84375;-2,2325583;-5,2093024;-1,3656132;-3,2850392
26;45;25906;0;1022,8125;-0,44599304;-0,7804878;0,1991989;0,49380514
22;38;26134;0;1024;-3,368421;-5,894737;-2,460992;-4,306736
18;30;26194;0;1033,75;-0,41025642;-0,82051283;0,3034015;0,52043325
14;23;26254;0;1035,1875;-2,7826087;-4,869565;-1,6503321;-2,816732
10;17;26254;0;1045,2188;-0,39875388;-0,5981308;0,23764285;0,42581275
7;11;26250;0;1046,7188;-2;-4;-1,0674974;-2,2679129
4;7;26130;0;1047,8438;-2,6666667;-3,5555556;-0,59259266;0,3950617
2;3;25826;0;1057,1875;-0,21404682;-0,42809364;0,26248777;0,33471164
1;1;25574;0;1058,5625;-0,72727275;-1,4545455;-0,37325522;-0,74651045
0;0;25322;0;1068,5625;-0,1;-0,1;0,06272727;0,13545455
0;0;24950;0;1069,9688;0;0;0,07111111;0,07111111
0;0;24298;0;1080,0625;0;0;0;0
0;0;23490;0;1081,5938;0;0;0;0
0;0;22034;0;1082,6875;0;0;0;0
1;2;19745;0;1092,125;0,105960265;0,21192053;0,011227578;0,022455156
1;6;16669;0;1093,4688;0;2,9767442;-0,07885415;2,0575433
3;12;12517;0;1103,125;0,20711975;0,6213592;0,021449294;-0,24392335
4;17;7088;0;1104,375;0,8;4;0,4743042;2,7029126
6;23;1084;0;1105,3438;2,064516;6,193548;1,3053069;2,2643077
6;23;0;0;1115,25;0;0;-0,2084054;-0,62521625
8;31;0;20;1116,6875;1,3913044;5,5652175;0,9678639;3,8714557
9;38;0;88;1117,8125;0,8888889;6,2222223;-0,44659153;0,5840043
11;44;0;156;1121,8438;0,49612403;1,4883721;-0,09743004;-1,1742885
13;51;0;248;1128,125;0,31840795;1,1144278;-0,028293107;-0,059533417
15;58;0;316;1131,5938;0,5765766;2,018018;0,074426994;0,26049447
18;65;0;385;1137,9375;0,4729064;1,1034483;-0,016342098;-0,14416863
21;72;0;429;1141,6875;0,8;1,8666667;0,08722496;0,2035249
24;79;0;477;1147,375;0,52747256;1,2307693;-0,047916915;-0,11180614
28;86;0;545;1151,75;0,9142857;1,6;0,08841444;0,0843956
32;93;0;565;1157,8125;0,6597938;1,1546391;-0,04197805;-0,07346159
36;100;0;589;1161,875;0,9846154;1,7230769;0,079956084;0,13992316
40;106;0;589;1167,9062;0,6632124;0,9948186;-0,05328961;-0,12074749
45;112;0;565;1171,7812;1,2903225;1,548387;0,16183487;0,14285637
49;116;0;545;1177,8438;0,6597938;0,6597938;-0,10400474;-0,14657208
53;120;0;497;1181,4688;1,1034483;1,1034483;0,12238744;0,12238744
57;124;0;453;1187,8125;0,63054186;0,63054186;-0,07454682;-0,07454682
61;127;0;409;1191,6875;1,032258;0,7741935;0,10366869;0,037071396
64;129;0;341;1197,9688;0,47761193;0,31840795;-0,088301875;-0,07256288
68;131;0;292;1201,75;1,0578512;0,5289256;0,15345171;0,055674087
71;133;0;248;1208,0312;0,47761193;0,31840795;-0,0923764;-0,03351525
74;134;0;180;1211,5312;0,85714287;0,2857143;0,10843741;-0,009341044
77;134;0;112;1217,9375;0,46829268;0;-0,060698565;-0,044599306
78;134;0;68;1221,5938;0,2735043;0;-0,05327546;0
80;134;0;20;1227,9688;0,3137255;0;0,00630921;0
80;134;0;0;1231,5625;0;0;-0,08729753;0
80;134;14957;0;1238,1562;0;0;0;0
80;134;16981;0;1247,1875;0;0;0;0
80;134;16981;0;1248,875;0;0;0;0
