x;y;pressure;z;time;velocityx;velocityy;accelx;accely
171;272;9712;0;0;0;0;0;0
176;276;10812;0;8,484375;0,5893186;0,4714549;0,06945928;0,05556743
180;279;11081;0;9,875;2,8764045;2,1573033;1,6446462;1,2122955
185;282;11597;0;19,523438;0,51821864;0,31093118;-0,24441116;-0,19136488
188;283;12521;0;20,894531;2,1880343;0,7293447;1,2178713;0,3051677
190;284;13209;0;30,101562;0,21722528;0,10861264;-0,21405478;-0,06741935
192;285;13797;0;31,5;1,4301676;0,7150838;0,86735535;0,43367767
192;285;14201;0;40,066406;0;0;-0,1669507;-0,08347535
192;284;14201;0;41,41797;0;-0,7398844;0;-0,5474289
192;283;14201;0;51,828125;0;-0,09606004;0;0,06184579
189;279;14381;0;53,285156;-2,0589812;-2,7453084;-1,4131346;-1,8182509
185;274;16945;0;63,121094;-0,40667197;-0,50833994;0,16798696;0,2274281
178;267;19945;0;64,76953;-4,2464457;-4,2464457;-2,3293414;-2,267666
170;258;21713;0;65,92969;-6,8956227;-7,757576;-2,2834659;-3,026429
161;248;22426;0;74,50781;-1,0491803;-1,1657559;0,68155247;0,7684454
150;236;22874;0;75,98828;-7,430079;-8,105541;-4,310053;-4,6875596
137;222;23358;0;86,33594;-1,2563231;-1,3529633;0,59663326;0,6525707
122;206;23890;0;87,97266;-9,164678;-9,775657;-4,831835;-5,146085
106;190;24290;0;97,21484;-1,7311919;-1,7311919;0,8042994;0,87040704
88;171;24662;0;98,80078;-11,349753;-11,980295;-6,064906;-6,462489
71;152;25002;0;108,00391;-1,8471986;-2,064516;1,0325357;1,0774361
54;133;25194;0;109,48828;-11,452632;-12,8;-6,471029;-7,232326
38;113;25230;0;110,76172;-12,564417;-15,705522;-0,8730581;-2,2816365
24;96;25326;0;120,078125;-1,5027254;-1,8247379;1,1873345;1,489929
13;80;25326;0;121,30078;-8,996805;-13,086262;-6,129343;-9,210704
5;68;25334;0;130,73828;-0,8476821;-1,2715232;0,86348325;1,2518928
1;60;25454;0;132,01172;-3,1411042;-6,2822084;-1,8009696;-3,934771
